Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
low-rise-pintuck-capri-jeans,Low Rise Pintuck Capri Jeans,Color,Black Wash,Size,0,,,PSAI-PINTUCK-CAPRI-0-BLACK-WASH-0,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,1,,,PSAI-PINTUCK-CAPRI-1-BLACK-WASH-1,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,3,,,PSAI-PINTUCK-CAPRI-3-BLACK-WASH-3,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,5,,,PSAI-PINTUCK-CAPRI-5-BLACK-WASH-5,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,7,,,PSAI-PINTUCK-CAPRI-7-BLACK-WASH-7,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,9,,,PSAI-PINTUCK-CAPRI-9-BLACK-WASH-9,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,11,,,PSAI-PINTUCK-CAPRI-11-BLACK-WASH-11,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,13,,,PSAI-PINTUCK-CAPRI-13-BLACK-WASH-13,28171 Westfield drive,,,,,,,999
low-rise-pintuck-capri-jeans,,Color,Black Wash,Size,15,,,PSAI-PINTUCK-CAPRI-15-BLACK-WASH-15,28171 Westfield drive,,,,,,,999
mid-rise-floral-zip-ankle-jeans,Mid Rise Floral Zip Ankle Jeans,Color,Ivory Floral,Size,23,,,PSAI-FLORAL-ZIP-ANKLE-23-IVORY-FLORAL-23,28171 Westfield drive,,,,,,,999
mid-rise-floral-zip-ankle-jeans,,Color,Ivory Floral,Size,24,,,PSAI-FLORAL-ZIP-ANKLE-24-IVORY-FLORAL-24,28171 Westfield drive,,,,,,,999
mid-rise-floral-zip-ankle-jeans,,Color,Ivory Floral,Size,25,,,PSAI-FLORAL-ZIP-ANKLE-25-IVORY-FLORAL-25,28171 Westfield drive,,,,,,,999
