Handle,Title,Brand,Category,Variant Rows,Image Count,Size Count,Has Size Guide,Max Inventory Per Variant
low-rise-pintuck-capri-jeans-black,Low Rise Pintuck Capri Jeans,PrimeStyleAI,Pants,9,3,9,TRUE,100
mid-rise-floral-zip-ankle-jeans,Mid Rise Floral Zip Ankle Jeans,PrimeStyleAI,Pants,12,6,12,TRUE,100
womens-stretch-flare-jeans-layover,Women's Stretch Flare Jeans,PrimeStyleAI,Pants,12,7,12,TRUE,100
flat-leather-criss-cross-sandals,Flat Leather Criss-Cross Sandals,PrimeStyleAI,Shoes,8,7,8,TRUE,100
floral-print-linen-blend-trousers,Floral Print Linen Blend Trousers,PrimeStyleAI,Pants,5,8,5,TRUE,100
floral-linen-blend-shirt,Floral Linen Blend Shirt,PrimeStyleAI,Tops,5,7,5,TRUE,100
ferragamo-utility-backpack-hug-buckle-786279,Men's Utility Backpack,Ferragamo,Bags,1,6,1,TRUE,100
sunglasshut-oakley-meta-vanguard-prizm-black-888392690401,Smart Sport Sunglasses,Oakley,Accessories,7,44,1,TRUE,100
nike-pegasus-42-womens-road-running-shoes-ib1881-602,Women's Running Shoes,Nike,Shoes,120,65,15,TRUE,100
ferragamo-double-gancini-fixed-belt-780417,Women's Leather Belt,Ferragamo,Accessories,21,8,7,TRUE,100
ferragamo-hug-east-west-shoulder-bag-795208,Women's Shoulder Bag,Ferragamo,Bags,3,21,1,TRUE,100
tjr-darkai-14mm-prong-pave-bracelet-moissanite,Pave Diamond Bracelet,DARKAI,Jewelry,4,7,4,TRUE,100
tjr-engelbert-legacy-knot-big-whitegold-black-diamonds-ring,Diamond Knot Ring,Engelbert,Jewelry,10,3,10,TRUE,100
tjr-georg-jensen-daisy-11mm-gold-plated-earrings,Gold Plated Earrings,Georg Jensen,Jewelry,1,3,1,TRUE,100
tjr-carre-10k-gold-heart-pendant-aquamarine-diamond,Gold Pendant Necklace,Carré Jewellery,Jewelry,1,3,1,TRUE,100
lockhatters-august-scallop-edge-panama-hat,Women's Panama Hat,Lock & Co. Hatters,Hats,3,4,3,TRUE,100
ff-versace-32661137,Mens Shirt,Versace,Shirts,9,5,10,TRUE,100
db-studio-wg4138,Wedding Dress,DB Studio,Wedding Dresses,8,8,16,TRUE,100
ff-versace-33943720,Mens Shirt,Versace,Shirts,8,4,10,TRUE,100
ff-cala-de-la-cruz-33495422,Womens Dress,Cala de la Cruz,Day Dresses,4,5,7,TRUE,100
ff-maniere-de-voir-30919320,Mens Trousers,Manière De Voir,Regular-Fit & Straight Leg Pants,7,5,15,TRUE,100
ff-solace-london-30455459,Off-shoulder Dress,Solace London,Evening Dresses,6,5,6,TRUE,100
ff-dolce-gabbana-32466778,Mens Swim Shorts,Dolce & Gabbana,Swim Shorts,5,3,12,TRUE,100
ff-lygia-nanny-30276765,Womens Swimsuit,Lygia & Nanny,Swimsuits,2,3,2,TRUE,100
ff-giorgio-armani-28457510,Mens T-Shirt,Giorgio Armani,T-Shirts,5,2,5,TRUE,100
mw-tmw-3by1-10,Mens Tuxedo,Tommy Hilfiger,Suits,52,14,47,TRUE,100
mango-hailey-bieber-frill-denim-shorts,Cotton Frill Detail Denim Shorts,Mango,Shorts,4,5,4,TRUE,100
