Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
men-s-classic-medical-scrub-uniform-set,Men's Classic Medical Scrub Uniform Set,Color,Navy,Size,S,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-S,28171 Westfield drive,,,,,,,100
men-s-classic-medical-scrub-uniform-set,,Color,Navy,Size,M,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-M,28171 Westfield drive,,,,,,,100
men-s-classic-medical-scrub-uniform-set,,Color,Navy,Size,L,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-L,28171 Westfield drive,,,,,,,100
men-s-classic-medical-scrub-uniform-set,,Color,Navy,Size,XL,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-XL,28171 Westfield drive,,,,,,,100
men-s-classic-medical-scrub-uniform-set,,Color,Navy,Size,2XL,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-2XL,28171 Westfield drive,,,,,,,100
men-s-classic-medical-scrub-uniform-set,,Color,Navy,Size,3XL,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-3XL,28171 Westfield drive,,,,,,,100
men-s-multi-pocket-medical-scrub-set,Men's Multi-Pocket Medical Scrub Set,Color,Royal Blue,Size,S,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-S,28171 Westfield drive,,,,,,,100
men-s-multi-pocket-medical-scrub-set,,Color,Royal Blue,Size,M,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-M,28171 Westfield drive,,,,,,,100
men-s-multi-pocket-medical-scrub-set,,Color,Royal Blue,Size,L,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-L,28171 Westfield drive,,,,,,,100
men-s-multi-pocket-medical-scrub-set,,Color,Royal Blue,Size,XL,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-XL,28171 Westfield drive,,,,,,,100
men-s-multi-pocket-medical-scrub-set,,Color,Royal Blue,Size,2XL,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-2XL,28171 Westfield drive,,,,,,,100
men-s-multi-pocket-medical-scrub-set,,Color,Royal Blue,Size,3XL,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-3XL,28171 Westfield drive,,,,,,,100
healthcare-pro-v-neck-scrub-set,Healthcare Pro V-Neck Scrub Set,Color,Slate Blue,Size,S,,,PSAI-HEALTHCARE-PRO-V-NECK-SCRUB-SET-SLATE-BLUE-S,28171 Westfield drive,,,,,,,100
healthcare-pro-v-neck-scrub-set,,Color,Slate Blue,Size,M,,,PSAI-HEALTHCARE-PRO-V-NECK-SCRUB-SET-SLATE-BLUE-M,28171 Westfield drive,,,,,,,100
healthcare-pro-v-neck-scrub-set,,Color,Slate Blue,Size,L,,,PSAI-HEALTHCARE-PRO-V-NECK-SCRUB-SET-SLATE-BLUE-L,28171 Westfield drive,,,,,,,100
healthcare-pro-v-neck-scrub-set,,Color,Slate Blue,Size,XL,,,PSAI-HEALTHCARE-PRO-V-NECK-SCRUB-SET-SLATE-BLUE-XL,28171 Westfield drive,,,,,,,100
healthcare-pro-v-neck-scrub-set,,Color,Slate Blue,Size,2XL,,,PSAI-HEALTHCARE-PRO-V-NECK-SCRUB-SET-SLATE-BLUE-2XL,28171 Westfield drive,,,,,,,100
healthcare-pro-v-neck-scrub-set,,Color,Slate Blue,Size,3XL,,,PSAI-HEALTHCARE-PRO-V-NECK-SCRUB-SET-SLATE-BLUE-3XL,28171 Westfield drive,,,,,,,100
adjustable-ribbon-scrub-cap,Adjustable Ribbon Scrub Cap,Color,Printed Pink,Size,One Size,,,PSAI-ADJUSTABLE-RIBBON-SCRUB-CAP-PRINTED-PINK-ONE-SIZE,28171 Westfield drive,,,,,,,100
adjustable-ponytail-scrub-cap,Adjustable Ponytail Scrub Cap,Color,Printed Blue,Size,One Size,,,PSAI-ADJUSTABLE-PONYTAIL-SCRUB-CAP-PRINTED-BLUE-ONE-SIZE,28171 Westfield drive,,,,,,,100
puffy-easy-clean-medical-scrub-cap,Puffy Easy-Clean Medical Scrub Cap,Color,Teal Print,Size,One Size,,,PSAI-PUFFY-EASY-CLEAN-MEDICAL-SCRUB-CAP-TEAL-PRINT-ONE-SIZE,28171 Westfield drive,,,,,,,100
solid-trim-hospital-scrub-cap,Solid Trim Hospital Scrub Cap,Color,Charcoal Trim,Size,One Size,,,PSAI-SOLID-TRIM-HOSPITAL-SCRUB-CAP-CHARCOAL-TRIM-ONE-SIZE,28171 Westfield drive,,,,,,,100
