Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
printed-stretch-medical-scrub-set,Printed Stretch Medical Scrub Set,Color,Sky Print,Size,S,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-S,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Sky Print,Size,M,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-M,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Sky Print,Size,L,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-L,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Sky Print,Size,XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-XL,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Sky Print,Size,2XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-2XL,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Blush Print,Size,S,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-S,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Blush Print,Size,M,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-M,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Blush Print,Size,L,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-L,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Blush Print,Size,XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-XL,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Blush Print,Size,2XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-2XL,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Navy Print,Size,S,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-NAVY-PRINT-S,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Navy Print,Size,M,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-NAVY-PRINT-M,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Navy Print,Size,L,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-NAVY-PRINT-L,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Navy Print,Size,XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-NAVY-PRINT-XL,28171 Westfield drive,,,,,,,100
printed-stretch-medical-scrub-set,,Color,Navy Print,Size,2XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-NAVY-PRINT-2XL,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,Breathable Cotton Medical Scrub Set,Color,Sky Print,Size,S,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-SKY-PRINT-S,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Sky Print,Size,M,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-SKY-PRINT-M,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Sky Print,Size,L,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-SKY-PRINT-L,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Sky Print,Size,XL,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-SKY-PRINT-XL,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Sky Print,Size,2XL,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-SKY-PRINT-2XL,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Blush Print,Size,S,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-BLUSH-PRINT-S,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Blush Print,Size,M,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-BLUSH-PRINT-M,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Blush Print,Size,L,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-BLUSH-PRINT-L,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Blush Print,Size,XL,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-BLUSH-PRINT-XL,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Blush Print,Size,2XL,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-BLUSH-PRINT-2XL,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Navy Print,Size,S,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-NAVY-PRINT-S,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Navy Print,Size,M,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-NAVY-PRINT-M,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Navy Print,Size,L,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-NAVY-PRINT-L,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Navy Print,Size,XL,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-NAVY-PRINT-XL,28171 Westfield drive,,,,,,,100
breathable-cotton-medical-scrub-set,,Color,Navy Print,Size,2XL,,,PSAI-BREATHABLE-COTTON-MEDICAL-SCRUB-SET-NAVY-PRINT-2XL,28171 Westfield drive,,,,,,,100
unisex-v-neck-medical-scrub-set,Unisex V-Neck Medical Scrub Set,Color,Sky Print,Size,S,,,PSAI-UNISEX-V-NECK-MEDICAL-SCRUB-SET-SKY-PRINT-S,28171 Westfield drive,,,,,,,100
unisex-v-neck-medical-scrub-set,,Color,Sky Print,Size,M,,,PSAI-UNISEX-V-NECK-MEDICAL-SCRUB-SET-SKY-PRINT-M,28171 Westfield drive,,,,,,,100
unisex-v-neck-medical-scrub-set,,Color,Sky Print,Size,L,,,PSAI-UNISEX-V-NECK-MEDICAL-SCRUB-SET-SKY-PRINT-L,28171 Westfield drive,,,,,,,100
unisex-v-neck-medical-scrub-set,,Color,Sky Print,Size,XL,,,PSAI-UNISEX-V-NECK-MEDICAL-SCRUB-SET-SKY-PRINT-XL,28171 Westfield drive,,,,,,,100
unisex-v-neck-medical-scrub-set,,Color,Sky Print,Size,2XL,,,PSAI-UNISEX-V-NECK-MEDICAL-SCRUB-SET-SKY-PRINT-2XL,28171 Westfield drive,,,,,,,100
