Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
printed-stretch-medical-scrub-set,Printed Stretch Medical Scrub Set,"<p>V-neck scrub set with a chest pocket, straight-leg pants, adjustable drawstring waist, and breathable stretch fabric for healthcare workwear tests.</p>
<p><strong>Material:</strong> 95% Cotton / 5% Spandex</p>
<p><strong>Available sizes:</strong> S, M, L, XL, 2XL</p>
<div class=""primestyle-size-guide""><h3>Medical Scrub Uniform Size Guide</h3><p>Unisex scrub sizing prepared for SDK testing.</p><table><thead><tr><th>Size</th><th>Chest (in)</th><th>Chest (cm)</th><th>Waist (in)</th><th>Waist (cm)</th><th>Hips (in)</th><th>Hips (cm)</th><th>Height (in)</th><th>Height (cm)</th></tr></thead><tbody><tr><td>S</td><td>34-36</td><td>86-91</td><td>28-30</td><td>71-76</td><td>35-37</td><td>89-94</td><td>62-68</td><td>157-173</td></tr><tr><td>M</td><td>38-40</td><td>97-102</td><td>32-34</td><td>81-86</td><td>39-41</td><td>99-104</td><td>64-70</td><td>163-178</td></tr><tr><td>L</td><td>42-44</td><td>107-112</td><td>36-38</td><td>91-97</td><td>43-45</td><td>109-114</td><td>66-72</td><td>168-183</td></tr><tr><td>XL</td><td>46-48</td><td>117-122</td><td>40-42</td><td>102-107</td><td>47-49</td><td>119-124</td><td>68-74</td><td>173-188</td></tr><tr><td>2XL</td><td>50-52</td><td>127-132</td><td>44-46</td><td>112-117</td><td>51-53</td><td>130-135</td><td>68-76</td><td>173-193</td></tr></tbody></table></div>
<div class=""primestyle-measure-guide""><h3>How to measure</h3><ul><li>Chest: measure around the fullest part of the chest.</li><li>Waist: measure around the natural waistline.</li><li>Hips: measure around the fullest part of the hips.</li></ul></div>",PrimeStyleAI,Apparel & Accessories > Clothing > Uniforms,Medical Uniforms,"PrimeStyleAI Demo, Uniform, Medical Scrub Set, Healthcare Workwear, SDK Test, Unisex, demo, uniform, medical scrubs, healthcare workwear, sdk-test",TRUE,Color,Sky Print,Size,S,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-S,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,https://shopcdnpro.grainajz.com/category/68528/3570/19e4f03236bbb3cc6de0c93ad3660651/1.jpg,1,Printed Stretch Medical Scrub Set,FALSE,Printed Stretch Medical Scrub Set,"V-neck scrub set with a chest pocket, straight-leg pants, adjustable drawstring waist, and breathable stretch fabric for healthcare workwear tests.",Apparel & Accessories > Clothing > Uniforms,unisex,adult,,new,TRUE,PrimeStyleAI Uniform Demo,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/19e4f03236bbb3cc6de0c93ad3660651/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Sky Print,Size,M,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-M,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/19e4f03236bbb3cc6de0c93ad3660651/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Sky Print,Size,L,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-L,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/19e4f03236bbb3cc6de0c93ad3660651/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Sky Print,Size,XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/19e4f03236bbb3cc6de0c93ad3660651/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Sky Print,Size,2XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-SKY-PRINT-2XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/19e4f03236bbb3cc6de0c93ad3660651/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Blush Print,Size,S,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-S,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/354e21fe5eae5e1c3166b24ad258fdbc/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Blush Print,Size,M,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-M,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/354e21fe5eae5e1c3166b24ad258fdbc/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Blush Print,Size,L,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-L,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/354e21fe5eae5e1c3166b24ad258fdbc/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Blush Print,Size,XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/354e21fe5eae5e1c3166b24ad258fdbc/1.jpg,g,,,active
printed-stretch-medical-scrub-set,,,,,,,,Color,Blush Print,Size,2XL,,,PSAI-PRINTED-STRETCH-MEDICAL-SCRUB-SET-BLUSH-PRINT-2XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/354e21fe5eae5e1c3166b24ad258fdbc/1.jpg,g,,,active
