Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
men-s-classic-medical-scrub-uniform-set,Men's Classic Medical Scrub Uniform Set,"<p>Men&#39;s scrub set with classic professional styling and medical staff-oriented fit.</p>
<p><strong>Material:</strong> 80% Polyester / 20% Cotton</p>
<p><strong>Available sizes:</strong> S, M, L, XL, 2XL, 3XL</p>
<div class=""primestyle-size-guide""><h3>Medical Scrub Uniform Size Guide</h3><p>PrimeStyleAI sizing reference.</p><table><thead><tr><th>Size</th><th>Chest (in)</th><th>Chest (cm)</th><th>Waist (in)</th><th>Waist (cm)</th><th>Hips (in)</th><th>Hips (cm)</th><th>Height (in)</th><th>Height (cm)</th></tr></thead><tbody><tr><td>S</td><td>34-36</td><td>86-91</td><td>28-30</td><td>71-76</td><td>35-37</td><td>89-94</td><td>62-68</td><td>157-173</td></tr><tr><td>M</td><td>38-40</td><td>97-102</td><td>32-34</td><td>81-86</td><td>39-41</td><td>99-104</td><td>64-70</td><td>163-178</td></tr><tr><td>L</td><td>42-44</td><td>107-112</td><td>36-38</td><td>91-97</td><td>43-45</td><td>109-114</td><td>66-72</td><td>168-183</td></tr><tr><td>XL</td><td>46-48</td><td>117-122</td><td>40-42</td><td>102-107</td><td>47-49</td><td>119-124</td><td>68-74</td><td>173-188</td></tr><tr><td>2XL</td><td>50-52</td><td>127-132</td><td>44-46</td><td>112-117</td><td>51-53</td><td>130-135</td><td>68-76</td><td>173-193</td></tr><tr><td>3XL</td><td>54-56</td><td>137-142</td><td>48-50</td><td>122-127</td><td>55-57</td><td>140-145</td><td>68-76</td><td>173-193</td></tr></tbody></table></div>
<div class=""primestyle-measure-guide""><h3>How to measure</h3><ul><li>Chest: measure around the fullest part of the chest.</li><li>Waist: measure around the natural waistline.</li><li>Hips: measure around the fullest part of the hips.</li></ul></div>",PrimeStyleAI,Apparel & Accessories > Clothing > Uniforms,Uniforms,"PrimeStyleAI Demo, Uniform, Medical Scrub Set, Healthcare Workwear, SDK Test, men, demo, uniform, scrub set, medical scrubs, healthcare workwear, sdk-test",TRUE,Color,Navy,Size,S,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-S,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,1,Men's Classic Medical Scrub Uniform Set,FALSE,Men's Classic Medical Scrub Uniform Set,Men's scrub set with classic professional styling and medical staff-oriented fit.,Apparel & Accessories > Clothing > Uniforms,male,adult,,new,TRUE,PrimeStyleAI Uniform Demo,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,g,,,active
men-s-classic-medical-scrub-uniform-set,,,,,,,,Color,Navy,Size,M,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-M,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,g,,,active
men-s-classic-medical-scrub-uniform-set,,,,,,,,Color,Navy,Size,L,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-L,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,g,,,active
men-s-classic-medical-scrub-uniform-set,,,,,,,,Color,Navy,Size,XL,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,g,,,active
men-s-classic-medical-scrub-uniform-set,,,,,,,,Color,Navy,Size,2XL,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-2XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,g,,,active
men-s-classic-medical-scrub-uniform-set,,,,,,,,Color,Navy,Size,3XL,,,PSAI-MEN-S-CLASSIC-MEDICAL-SCRUB-UNIFORM-SET-NAVY-3XL,650,shopify,100,deny,manual,42.00,54.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3978261a334b01fcf9aa24cf4549086a/1.jpg,g,,,active
men-s-classic-medical-scrub-uniform-set,,,,,,,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/123f491c66b230c20660001d7c040529/2.jpg,2,Men's Classic Medical Scrub Uniform Set,,,,,,,,,,,,,,,,,,,
men-s-classic-medical-scrub-uniform-set,,,,,,,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/bdd9a9acf014d5eb869b836f8cf781a2/3.jpg,3,Men's Classic Medical Scrub Uniform Set,,,,,,,,,,,,,,,,,,,
men-s-classic-medical-scrub-uniform-set,,,,,,,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/3f11ba913325739ca5296b047d9491fd/4.jpg,4,Men's Classic Medical Scrub Uniform Set,,,,,,,,,,,,,,,,,,,
men-s-classic-medical-scrub-uniform-set,,,,,,,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/2b37186496057cb44af02da4a90f858b/5.jpg,5,Men's Classic Medical Scrub Uniform Set,,,,,,,,,,,,,,,,,,,
men-s-multi-pocket-medical-scrub-set,Men's Multi-Pocket Medical Scrub Set,"<p>Men&#39;s scrub set with functional pocket layout and breathable medical-uniform construction.</p>
<p><strong>Material:</strong> 72% Polyester / 21% Rayon / 7% Spandex</p>
<p><strong>Available sizes:</strong> S, M, L, XL, 2XL, 3XL</p>
<div class=""primestyle-size-guide""><h3>Medical Scrub Uniform Size Guide</h3><p>PrimeStyleAI sizing reference.</p><table><thead><tr><th>Size</th><th>Chest (in)</th><th>Chest (cm)</th><th>Waist (in)</th><th>Waist (cm)</th><th>Hips (in)</th><th>Hips (cm)</th><th>Height (in)</th><th>Height (cm)</th></tr></thead><tbody><tr><td>S</td><td>34-36</td><td>86-91</td><td>28-30</td><td>71-76</td><td>35-37</td><td>89-94</td><td>62-68</td><td>157-173</td></tr><tr><td>M</td><td>38-40</td><td>97-102</td><td>32-34</td><td>81-86</td><td>39-41</td><td>99-104</td><td>64-70</td><td>163-178</td></tr><tr><td>L</td><td>42-44</td><td>107-112</td><td>36-38</td><td>91-97</td><td>43-45</td><td>109-114</td><td>66-72</td><td>168-183</td></tr><tr><td>XL</td><td>46-48</td><td>117-122</td><td>40-42</td><td>102-107</td><td>47-49</td><td>119-124</td><td>68-74</td><td>173-188</td></tr><tr><td>2XL</td><td>50-52</td><td>127-132</td><td>44-46</td><td>112-117</td><td>51-53</td><td>130-135</td><td>68-76</td><td>173-193</td></tr><tr><td>3XL</td><td>54-56</td><td>137-142</td><td>48-50</td><td>122-127</td><td>55-57</td><td>140-145</td><td>68-76</td><td>173-193</td></tr></tbody></table></div>
<div class=""primestyle-measure-guide""><h3>How to measure</h3><ul><li>Chest: measure around the fullest part of the chest.</li><li>Waist: measure around the natural waistline.</li><li>Hips: measure around the fullest part of the hips.</li></ul></div>",PrimeStyleAI,Apparel & Accessories > Clothing > Uniforms,Uniforms,"PrimeStyleAI Demo, Uniform, Medical Scrub Set, Healthcare Workwear, SDK Test, men, demo, uniform, scrub set, medical scrubs, healthcare workwear, sdk-test",TRUE,Color,Royal Blue,Size,S,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-S,650,shopify,100,deny,manual,46.00,58.00,TRUE,TRUE,,https://shopcdnpro.grainajz.com/category/68528/3570/e3681a9e08f7966f88b9d94c0cc36287/1.jpg,1,Men's Multi-Pocket Medical Scrub Set,FALSE,Men's Multi-Pocket Medical Scrub Set,Men's scrub set with functional pocket layout and breathable medical-uniform construction.,Apparel & Accessories > Clothing > Uniforms,male,adult,,new,TRUE,PrimeStyleAI Uniform Demo,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/e3681a9e08f7966f88b9d94c0cc36287/1.jpg,g,,,active
men-s-multi-pocket-medical-scrub-set,,,,,,,,Color,Royal Blue,Size,M,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-M,650,shopify,100,deny,manual,46.00,58.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/e3681a9e08f7966f88b9d94c0cc36287/1.jpg,g,,,active
men-s-multi-pocket-medical-scrub-set,,,,,,,,Color,Royal Blue,Size,L,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-L,650,shopify,100,deny,manual,46.00,58.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/e3681a9e08f7966f88b9d94c0cc36287/1.jpg,g,,,active
men-s-multi-pocket-medical-scrub-set,,,,,,,,Color,Royal Blue,Size,XL,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-XL,650,shopify,100,deny,manual,46.00,58.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/e3681a9e08f7966f88b9d94c0cc36287/1.jpg,g,,,active
men-s-multi-pocket-medical-scrub-set,,,,,,,,Color,Royal Blue,Size,2XL,,,PSAI-MEN-S-MULTI-POCKET-MEDICAL-SCRUB-SET-ROYAL-BLUE-2XL,650,shopify,100,deny,manual,46.00,58.00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,https://shopcdnpro.grainajz.com/category/68528/3570/e3681a9e08f7966f88b9d94c0cc36287/1.jpg,g,,,active
